/*
Author: Kevin Ward
Class: ASD1210
*/

kool1  |  petGroups  |  petName | petEmail | genderValue | favePet | birthdate | koolness | comments
off | Cats | Katty | Katty@petmail.com | Female | No | 2012-01-01 | 25 | She's so cute!

kool1  |  petGroups  |  petName | petEmail | genderValue | favePet | birthdate | koolness | comments
off | Rodents | Ratigan | Ratigan@petmail.com | Male | No | 2003-05-02 | 33 | I am the pumpkin king!

kool1  |  petGroups  |  petName | petEmail | genderValue | favePet | birthdate | koolness | comments
off | Birds | Flappy McFlappins | Flaptastick@petmail.com | Male | No | 2099-12-01 | 10 | He's Flappy McFlappins, at your service.

kool1  |  petGroups  |  petName | petEmail | genderValue | favePet | birthdate | koolness | comments
off | Farm_Animals | Bessie | Bessie@petmail.com | Female | No | 2012-07-07 | 01 | She's a cow, Moo.

kool1  |  petGroups  |  petName | petEmail | genderValue | favePet | birthdate | koolness | comments
off | Cats | Impa | Impa@petmail.com | Female | Yes | 1968-02-09 | 66 | She protects Zelda!

kool1  |  petGroups  |  petName | petEmail | genderValue | favePet | birthdate | koolness | comments		
off | Farm_Animals | Cluckins | Clucky@petmail.com | Male | No | 2001-06-20 | 1 | Chickens can't fly...
